OtherRoles,Time
0,19.210
5,13.463
10,22.297
15,24.545
20,22.072
25,26.454
30,30.236
35,34.776
40,41.627
45,43.006
50,48.501
55,50.107
60,49.907
65,58.086
70,65.446
75,63.318
80,80.124
85,67.760
90,74.124
95,89.330
100,92.482
105,95.111
110,97.141
115,104.617
120,96.351
125,110.639
130,102.244
135,104.116
140,107.825
145,103.847
150,116.451
155,109.284
160,107.776
165,120.104
170,132.338
175,147.305
180,128.073
185,145.709
190,135.014
195,144.540
200,178.556
205,156.714
210,190.729
215,167.509
220,185.690
225,171.403
230,182.703
235,178.110
240,183.522
245,182.066
250,202.256
255,202.249
260,257.303
265,229.928
270,212.683
275,224.432
280,237.700
285,224.284
290,254.433
295,242.053
300,245.339
305,250.624
310,254.795
315,252.476
320,287.284
325,271.884
330,279.908
335,283.110
340,274.978
345,298.152
350,311.520
355,307.817
360,317.097
365,324.692
370,319.100
375,332.231
380,344.190
385,347.730
390,377.273
395,380.956
400,398.585
405,380.600
410,379.784
415,399.196
420,403.522
425,409.223
430,409.551
435,427.773
440,422.113
445,465.892
450,440.753
455,445.675
460,465.866
465,474.444
470,532.709
475,471.657
480,470.599
485,488.788
490,496.393
495,551.166
500,540.376