OtherUsers,Time
0,9.907
5,9.230
10,14.039
15,18.291
20,26.197
25,26.473
30,30.361
35,54.781
40,38.671
45,37.188
50,49.622
55,43.080
60,43.710
65,46.233
70,51.172
75,61.711
80,61.003
85,66.554
90,69.064
95,71.597
100,78.272
105,74.944
110,78.243
115,85.178
120,84.979
125,96.424
130,93.163
135,99.901
140,111.050
145,109.423
150,108.507
155,131.501
160,120.253
165,122.996
170,133.156
175,145.976
180,142.367
185,138.845
190,148.373
195,159.287
200,159.817
205,169.384
210,172.627
215,170.596
220,173.801
225,201.773
230,187.044
235,193.779
240,198.737
245,196.700
250,204.127
255,208.939
260,231.021
265,224.394
270,229.839
275,233.130
280,243.556
285,247.586
290,258.681
295,252.987
300,258.178
305,277.073
310,273.664
315,284.536
320,282.740
325,291.475
330,295.504
335,301.412
340,305.009
345,318.996
350,323.849
355,328.039
360,344.212
365,349.045
370,352.502
375,372.563
380,391.835
385,374.440
390,384.927
395,396.341
400,398.176
405,397.193
410,406.722
415,428.776
420,420.283
425,426.855
430,439.174
435,450.219
440,458.999
445,458.193
450,464.829
455,493.927
460,471.128
465,484.175
470,497.742
475,501.372
480,566.569
485,526.274
490,526.818
495,539.145
500,534.665